,keyword,view,menu,checkout,order
2233,fish chips combo,34816,13395,5503,474
2234,british fish & chips,16225,4346,2723,178
2235,ikan kentang menu,20651,7814,4448,277
2236,four cheese pizza,37104,13078,5475,425
2237,pizza empat keju,49948,16692,4707,366
2238,4 cheese pizza,10305,3494,1578,70
2239,pizza keju mix,39706,13317,3972,261
2240,pizza keju leleh,25630,4481,1936,100
2241,pizza 4 jenis keju,32737,10803,3722,341
2242,quattro formaggi,31686,4782,2918,146
2243,bánh pizza bốn loại phô mai,31370,5091,1307,124
2244,cheesy pizza,11397,3271,1844,137
2245,cheese overload pizza,28674,9258,3180,196
2246,four cheese slice,27838,7493,2350,83
2247,cheesy delight pizza,23321,7418,4041,299
2248,maple bacon donut,18424,5297,3643,131
2249,donat bacon maple,48849,13220,5294,489
2250,bacon donut,9545,2160,1229,48
2251,maple glazed donut,19900,6623,3846,246
2252,donat daging asap,30376,5145,1537,142
2253,sweet bacon donut,18968,7456,2926,223
2254,bacon sugar donut,39826,9870,2855,177
2255,bánh donut thịt xông khói,34825,10853,6801,492
2256,donut manis asin,40355,9622,4626,407
2257,donut topping maple,39794,7644,3542,257
2258,maple syrup donut,8496,2349,1067,57
2259,maple meat donut,33424,5985,2609,226
2260,strawberries & cream waffle,5973,1446,933,92
2261,waffle stroberi krim,40622,11743,8211,292
2262,waffle buah dan krim,33667,9806,5907,418
2263,waffle cream strawberry,7811,2997,772,51
2264,waffle stroberi lembut,18038,5618,1795,172
2265,bánh waffle dâu kem,14617,3645,2499,231
2266,strawberry waffle,24087,6674,2386,169
2267,waffle topping buah,16595,3174,1561,130
2268,waffle whipped cream,29020,10583,4968,280
2269,waffle manis stroberi,28279,4923,2951,142
2270,breakfast waffle strawberry,32883,5549,3415,278
2271,fruit cream waffle,938,160,89,3
2272,baklava,38519,14255,8495,785
2273,kue baklava,30748,5192,3097,227
2274,dessert timur tengah,19265,3186,1181,102
2275,sweet pastry baklava,29141,6270,2074,136
2276,kue kacang manis,43869,12932,6371,590
2277,honey nut pastry,1534,439,294,10
2278,bánh ngọt baklava,16356,2792,1723,140
2279,baklava klasik,24008,7863,3917,258
2280,kue lapis manis,16479,5884,1772,76
2281,middle eastern dessert,45257,15270,4737,302
2282,baklava layers,48706,9598,5269,311
2283,sweet filo pastry,23522,3923,1569,143
2284,pistachio baklava,29362,7582,4497,400
2285,hot chocolate,37754,10445,5267,402
2286,coklat panas,23104,8060,3354,192
2287,minuman cokelat hangat,10826,3925,2742,105
2288,hot cocoa,20378,4744,1578,88
2289,hot choc,40933,12061,6141,334
2290,chocolate drink,21259,8259,3788,314
2291,susu coklat panas,21481,4558,1773,82
2292,sô-cô-la nóng,12847,3853,2170,199
2293,hot choco,45414,14609,7650,585
2294,hot chocolate cup,42040,15854,6504,450
2295,choco milk drink,41670,13917,8551,516
2296,cocoa panas,7834,2662,1665,145
2297,warm cocoa,33972,6616,3041,123
2298,cocoa latte,45731,7196,3425,135
2299,hot chocolate classic,39175,11185,6755,348
2300,everything bagel,8831,3511,1636,73
2301,bagel everything,2537,644,198,10
2302,bagel campur,25683,9616,3354,284
2303,bagel topping lengkap,18894,5032,2542,139
2304,bagel mix,48924,9321,6423,469
2305,roti bagel everything,7274,2703,1806,151
2306,bánh vòng đủ vị,27479,9595,2750,114
2307,everything bagel savory,43862,7193,2377,160
2308,savory bagel,1705,384,167,8
2309,all-topping bagel,14148,4194,2294,207
2310,multiseed bagel,27292,8096,3522,227
2311,classic everything bagel,11936,3551,2169,185
2312,lamb shawarma wrap,39122,13377,7030,521
2313,wrap domba shawarma,34048,12503,8540,354
2314,shawarma kambing,1624,295,137,4
2315,daging domba wrap,24817,8282,4542,263
2316,lamb kebab wrap,13031,2218,1426,97
2317,bánh cuộn thịt cừu shawarma,25792,4482,1931,159
2318,shawarma wrap kambing,18105,3041,1183,51
2319,lamb pita wrap,10501,1711,860,84
2320,shawarma gulung domba,45629,9154,2749,165
2321,grilled lamb wrap,4256,754,244,15
2322,domba panggang gulung,38594,7724,2880,282
2323,lamb doner wrap,2133,545,358,18
2324,rasgulla,34332,8170,4286,422
2325,dessert india rasgulla,26700,10357,4825,392
2326,kue susu india,10695,2883,944,51
2327,manisan bola susu,40360,13477,9218,725
2328,sweet rasgulla,48593,11629,5053,375
2329,rasgulla klasik,45188,15355,5001,434
2330,bánh sữa Rasgulla,49944,8667,5938,281
2331,bola susu manis,4314,971,510,43
2332,bola putih gula,34459,13150,6444,270
2333,dessert bola susu,46922,10382,7055,644
2334,chenna sweet,34919,10872,3757,258
2335,milk ball dessert,3928,843,384,35
2336,indian syrup sweet,46486,10231,4982,177
2337,kimchi,48070,8520,2660,187
2338,kimchi korea,7778,2623,1195,89
2339,acar korea,974,214,84,8
2340,fermented cabbage,4479,813,475,37
2341,spicy korean kimchi,45209,15553,6189,265
2342,kubis fermentasi,15044,5018,2230,183
2343,kimchi homemade,9654,1714,500,45
2344,kim chi cay,6034,1617,733,67
2345,korean pickled veggies,42262,15752,5057,380
2346,kimchi klasik,28998,11129,6048,378
2347,kimchi fermentasi,23594,8030,4983,375
2348,korean side dish,17092,5562,2689,254
2349,kimchi sayur,937,249,159,11
2350,pulled pork sandwich,47245,18175,7564,577
2351,sandwich babi suwir,19176,5242,2001,131
2352,pulled pork bun,13621,4471,2248,211
2353,roti isi babi,2391,592,294,21
2354,sandwich daging suwir,23409,7842,3581,338
2355,bánh mì thịt heo xé,5783,1192,687,65
2356,pork bbq sandwich,46276,17930,12021,752
2357,roti babi asap,6527,1395,364,25
2358,pulled pork burger,32016,9044,5000,378
2359,pork sandwich,37233,13926,5160,492
2360,sandwich daging tarik,6837,2393,965,50
2361,chicken shawarma wrap,11779,3612,1307,52
2362,shawarma ayam gulung,8646,2233,628,26
2363,wrap ayam shawarma,22049,6231,2888,217
2364,shawarma ayam,26769,4499,2997,154
2365,chicken wrap,36789,9496,2936,147
2366,bánh cuộn gà shawarma,2118,808,363,22
2367,chicken pita wrap,23528,9108,4783,469
2368,shawarma grilled chicken,9858,3847,1091,48
2369,wrap ayam panggang,27013,7608,4225,329
2370,roti gulung ayam,33191,7187,2255,215
2371,shawarma ayam klasik,39771,15416,10686,682
2372,beef kabob platter,7477,2356,1617,111
2373,platter daging kebab,24279,6441,3214,124
2374,kabob sapi,21652,3328,2151,74
2375,beef skewers plate,39424,7363,4409,339
2376,daging sapi tusuk,668,179,120,9
2377,piring daging kebab,620,159,51,4
2378,bánh thịt xiên nướng,6814,1405,542,41
2379,grilled beef platter,17242,5420,2344,218
2380,beef satay plate,6408,2113,847,83
2381,kabab daging sapi,28230,7547,2189,185
2382,platter kebab klasik,17590,4896,2826,219
2383,beef kebab rice,8814,1959,664,49
2384,southwest chicken salad,13225,4260,2713,113
2385,salad ayam southwest,2012,764,341,20
2386,chicken salad pedas,48379,12465,5712,288
2387,southwest style salad,33599,7604,3711,143
2388,salad ayam dengan jagung,20743,6263,2793,168
2389,salad sayur ayam,889,312,205,19
2390,gỏi gà kiểu tây nam,11064,2730,1807,163
2391,chicken salad mix,22358,7044,4592,273
2392,grilled chicken salad,21247,4200,1608,121
2393,salad ayam saus barat daya,30654,6625,1833,109
2394,mexican chicken salad,38917,7196,2419,212
2395,southwestern salad,46699,11617,7741,422
2396,smoked sausage platter,35640,8681,4698,244
2397,platter sosis asap,11866,3285,904,65
2398,sosis panggang asap,12974,2722,1644,88
2399,smoked sausage plate,24397,5223,3141,309
2400,daging sosis asap,28780,10577,2956,140
2401,smoked meat set,10652,1623,627,53
2402,piring sosis asap,40543,14330,7973,359
2403,xúc xích hun khói,18472,3142,1319,129
2404,mixed sausage platter,4111,1035,691,54
2405,bbq sausage plate,26550,6925,2923,218
2406,smoked sausage combo,34914,7330,2424,237
2407,sosis panggang set,8281,1248,826,76
2408,smoked platter klasik,20144,3615,977,48
2409,boneless wings combo,41517,8551,3590,329
2410,sayap ayam tanpa tulang,42408,7118,3179,143
2411,boneless chicken wings,42533,9783,4381,260
2412,combo boneless wings,8762,2812,1774,154
2413,wings combo,21641,3981,1241,63
2414,ayam goreng boneless,20140,6379,3010,249
2415,boneless wings set,45775,13306,5424,232
2416,cánh gà không xương,37083,8590,4033,285
2417,wings tanpa tulang kombo,32038,5734,3440,220
2418,ayam boneless goreng,27469,10877,6072,482
2419,spicy boneless wings,1444,554,244,13
2420,boneless chicken bites,49021,12379,6459,374
2421,thai iced tea,47393,15692,9712,527
2422,thai tea dingin,4630,1187,474,41
2423,es teh thai,22736,6517,2731,161
2424,iced milk tea thai,16295,4851,1298,108
2425,teh susu thailand,35246,10632,4024,303
2426,thai milk tea,43507,7026,2620,219
2427,trà sữa thái,41564,9383,4120,213
2428,teh tarik thai,7361,2920,1920,174
2429,thai tea klasik,3515,1391,471,16
2430,es teh manis thailand,27417,9549,3477,342
2431,teh krim thai,29840,10689,6370,514
2432,thai chilled tea,23508,8470,3675,212
2433,thai beverage,10418,4145,2766,249
2434,detox green juice,38188,12298,3168,186
2435,jus hijau detox,30591,5137,2293,173
2436,detox drink,7977,2124,582,43
2437,green cleanse juice,16988,3598,1388,103
2438,jus sehat hijau,31592,7061,4547,160
2439,green veggie juice,14931,3405,991,79
2440,sayuran jus detox,9631,1990,685,37
2441,nước ép rau xanh detox,21978,4153,2888,237
2442,minuman sehat hijau,17974,4022,1344,66
2443,detox juice cold pressed,41589,14912,9651,869
2444,juice hijau sehat,1855,292,186,11
2445,green blend detox,9868,3168,2096,137
2446,whipped cream scoop,19203,3097,1423,114
2447,whipped cream,8569,2865,1224,92
2448,satu scoop krim kocok,49822,16692,7883,696
2449,topping krim manis,38979,12785,7019,421
2450,sendok whipped cream,43617,6926,3710,311
2451,creamy whipped topping,8166,1460,374,37
2452,whipped cream only,47906,12787,4255,340
2453,krim putar,26977,4730,2842,126
2454,kem đánh bông,29102,9273,4584,403
2455,topping dessert krim,46279,14738,6832,394
2456,krim manis lembut,33685,10338,3707,301
2457,whipped cream side,30690,6957,3569,139
2458,extra cream,48738,9323,2585,191
2459,red bean sesame balls,2745,1013,427,30
2460,bola wijen kacang merah,15513,5873,3086,178
2461,onde-onde kacang merah,38208,12674,7319,691
2462,sesame balls red bean,46493,15632,10849,483
2463,fried sesame balls,29235,10050,5328,218
2464,bánh mè đậu đỏ,5329,1490,891,36
2465,mochi wijen isi kacang,27404,7574,2040,157
2466,onde kacang merah,39970,8760,3968,241
2467,red bean balls,44581,15757,8966,381
2468,bola bijan goreng,20934,7320,2654,218
2469,sesame mochi red bean,24981,5816,2898,142
2470,sweet sesame dumpling,22242,8551,3218,192
2471,spring rolls (2 pcs),46520,17861,10590,564
2472,lumpia 2 pcs,35423,10240,5224,251
2473,spring roll dua potong,7063,2320,1339,65
2474,popiah goreng mini,11560,2558,1242,75
2475,chả giò 2 cái,6087,1955,805,34
2476,mini spring rolls,24890,7052,4514,280
2477,fried lumpia,42808,13797,6021,356
2478,spring roll kecil,38435,5824,2163,159
2479,lumpia dua,42441,11449,4745,415
2480,popiah kecil,19233,7579,3964,385
2481,spring roll appetizer,12355,2392,1530,139
2482,crispy roll 2 pcs,10878,2598,1704,149
2483,spicy bbq wings (6 pcs),34162,11583,7352,666
2484,wings bbq pedas 6 pcs,19819,5550,3054,189
2485,sayap ayam bbq pedas,16555,5907,1549,153
2486,spicy wings 6 pieces,22506,4428,2196,216
2487,ayam goreng bbq 6,3851,593,343,33
2488,cánh gà sốt BBQ cay,44219,10661,3112,195
2489,hot bbq chicken wings,20038,3857,1035,54
2490,wings pedas bbq,21246,7375,4859,214
2491,bbq wings set,15436,3030,943,73
2492,grilled bbq wings spicy,21255,7705,2998,235
2493,6 wings pedas,4187,945,601,34
2494,crinkle cut fries,19457,6038,2653,231
2495,kentang goreng keriting,26216,5471,1485,124
2496,fries potong zigzag,9480,2053,585,57
2497,kentang crinkle,30101,8122,2733,168
2498,curly fries,6461,1622,593,31
2499,krinkle fries,12443,2935,1802,81
2500,bánh khoai tây lượn sóng,8441,2803,945,34
2501,wavy fries,45764,14844,5050,189
2502,kentang bergelombang,34974,6425,2403,116
2503,fries bentuk unik,21988,7170,3549,160
2504,crinkly fries,12683,4811,3053,240
2505,potato zigzag cut,19609,7442,3409,266
2506,side crinkle fries,43792,12807,6646,477
2507,baked beans,35391,12235,8284,706
2508,kacang panggang,42705,16972,10840,1066
2509,kacang rebus tomat,12140,2489,1673,145
2510,baked beans classic,9880,1529,656,55
2511,kacang tomat,14961,5734,1458,111
2512,beans in sauce,29960,9010,4505,350
2513,baked bean side,34927,13180,6548,330
2514,đậu sốt cà,43325,7374,1845,136
2515,beans breakfast style,20804,5356,3408,130
2516,tomato beans,36222,12675,7410,609
2517,side baked beans,818,219,93,7
2518,baked beans manis,39090,12584,8414,414
2519,canned beans warm,46798,8506,5169,305
2520,berry almond salad,9118,1911,1127,107
2521,salad beri almond,5084,1366,873,37
2522,salad buah dengan kacang,4595,1516,924,68
2523,mixed berry salad,34603,8315,4391,247
2524,salad almond buah,10021,3356,1004,47
2525,berry nut salad,7597,2027,1252,106
2526,salad sehat buah kacang,39996,9173,2661,225
2527,gỏi dâu hạnh nhân,38943,8590,3353,158
2528,fresh berry salad,24511,4946,2033,69
2529,berry mix salad,40081,6288,2971,192
2530,salad kacang dan buah,31910,12409,7053,287
2531,healthy fruit salad,37491,10029,3507,196
2532,salad almond segar,38520,6020,3453,174
2533,brisket pho,38199,10704,4121,150
2534,pho brisket,17280,3705,943,89
2535,pho daging brisket,8733,1949,799,34
2536,vietnamese brisket noodle soup,21684,5483,1717,88
2537,sup pho brisket,24001,7419,2180,89
2538,bánh phở bò nạm,35715,9160,4469,431
2539,pho sapi brisket,43151,8110,3385,213
2540,brisket beef pho,2481,625,251,8
2541,beef noodle pho brisket,12976,4186,2457,215
2542,pho kuah daging,27966,4442,1761,144
2543,brisket pho bowl,39636,6621,1891,110
2544,pho klasik brisket,24753,6054,3046,246
2545,bulgogi beef platter,46568,16137,6229,572
2546,beef bulgogi set,13185,3678,972,89
2547,platter daging bulgogi,33512,11243,5918,399
2548,bulgogi bowl,37389,10748,5752,337
2549,daging sapi bulgogi,33851,11972,7575,731
2550,bulgogi panggang,17968,4016,2806,136
2551,korean beef platter,26157,4143,1307,80
2552,cơm thịt bò bulgogi,16347,4978,1847,79
2553,korean bbq beef,28882,6670,3999,235
2554,bulgogi rice plate,36009,11583,4248,215
2555,nasi bulgogi daging,17406,6712,2752,168
2556,bulgogi beef grilled,41356,8074,3272,238
2557,bulgogi combo plate,36044,12650,5483,470
2558,carnitas tacos,47115,7956,4452,255
2559,taco carnitas,39585,15205,5268,382
2560,pork carnitas tacos,4278,1362,495,19
2561,taco babi suwir,7422,2158,564,55
2562,daging babi lembut taco,27583,7505,5067,189
2563,soft pork tacos,47365,11977,3102,176
2564,bánh taco thịt heo hầm,28395,11256,4629,337
2565,street tacos pork,44454,14799,8235,742
2566,taco isi daging babi,37516,9547,4801,380
2567,carnitas soft tacos,17695,5226,2936,194
2568,mexican carnitas taco,49388,14621,5685,296
2569,grilled pork taco,23783,7685,3644,340
2570,chicken teriyaki poke bowl,34038,9221,4323,333
2571,poke ayam teriyaki,35323,13401,8548,761
2572,mangkuk poke ayam,36673,9264,2856,119
2573,teriyaki chicken bowl,4623,1134,430,40
2574,ayam teriyaki rice bowl,46855,8447,5276,440
2575,poke bowl chicken,45145,13106,4825,237
2576,ayam saus teriyaki poke,20474,4035,1340,115
2577,poke ayam jepang,47613,13424,4746,276
2578,bánh poke gà sốt teriyaki,9953,3095,1853,162
2579,chicken poke rice,37710,5768,3230,218
2580,poke bowl ayam teriyaki,4181,1449,903,38
2581,poke teriyaki classic,9081,2746,1444,54
2582,chirashi don,3405,1088,652,49
2583,chirashi donburi,48010,10163,2787,104
2584,nasi sashimi mangkuk,33511,13369,4535,409
2585,chirashi bowl,9709,2770,1594,155
2586,chirashi sushi rice,21763,5145,2409,199
2587,assorted sashimi rice,9285,2519,1562,121
2588,mangkuk chirashi,11123,2833,1661,110
2589,cơm sashimi trộn,30970,5302,1760,164
2590,rice bowl chirashi,23475,4204,2499,245
2591,sushi bowl,30941,11420,5779,433
2592,japanese sashimi bowl,17857,3542,1349,62
2593,donburi chirashi,43615,11272,6185,524
2594,rice sashimi mix,44071,13352,3833,204
2595,key lime pie,11214,3300,1443,60
2596,pai limau nipis,46998,17796,10274,991
2597,pie jeruk nipis,44505,12342,6854,241
2598,lime dessert pie,18788,4042,2176,90
2599,key lime tart,4626,911,326,19
2600,pai manis lime,10539,2418,1049,50
2601,bánh chanh key lime,34288,12858,8913,540
2602,sweet lime pie,41141,7929,3168,285
2603,keylime pie classic,48358,11470,5876,419
2604,pai jeruk manis,8932,1769,633,40
2605,key lime custard pie,47348,15680,4363,247
2606,tart limau,10380,2905,1157,50
2607,lentil & beetroot salad,24053,4025,1216,66
2608,salad lentil beet,15353,3584,2440,178
2609,salad kacang dan bit,26077,9392,5950,387
2610,beet lentil salad,15917,3984,1878,126
2611,salad sehat bit,24145,4282,2390,131
2612,salad vegan beet,15595,3842,1844,82
2613,salad sayur bit dan lentil,32587,7995,3971,291
2614,gỏi củ dền đậu lăng,9058,1368,711,56
2615,beet salad mix,3205,978,323,21
2616,kacang bit salad,42240,10047,4385,334
2617,healthy lentil salad,16111,4248,1381,76
2618,salad segar lentil beet,14239,3491,2103,131
2619,roast beef & cheddar sandwich,7758,2178,1462,79
2620,sandwich daging panggang keju,15026,3364,1634,81
2621,sandwich roast beef,12305,3557,1713,118
2622,roti isi beef cheddar,42113,6530,2147,168
2623,sandwich keju dan daging,540,133,68,5
2624,bánh mì thịt nướng phô mai,14815,4109,1559,121
2625,cheddar roast sandwich,2403,364,164,6
2626,sandwich sapi bakar keju,34792,6001,3967,277
2627,grilled roast beef sandwich,23161,5078,2564,250
2628,sandwich cheddar panggang,8495,3188,1113,95
2629,savory bacon & egg waffle,32415,10218,3085,176
2630,waffle bacon telur,4842,1782,617,45
2631,waffle gurih,49349,8708,4857,336
2632,waffle savory,35226,6034,3761,353
2633,roti waffle isi bacon dan telur,41600,13660,9044,335
2634,waffle sarapan,4551,909,593,57
2635,waffle asin,2315,649,287,18
2636,bánh waffle thịt xông khói trứng,25696,8551,2596,238
2637,savory breakfast waffle,47417,10582,3008,113
2638,waffle isi telur bacon,23335,5577,1583,92
2639,bacon egg waffle meal,3729,1243,426,22
2640,baked beans,18637,6448,2954,152
2641,kacang panggang,48379,16999,9004,679
2642,kacang rebus tomat,20808,7112,2520,142
2643,baked beans classic,42465,12214,4120,174
2644,kacang tomat,40310,13622,8540,461
2645,beans in sauce,29314,10230,6647,436
2646,baked bean side,37565,10765,3172,157
2647,đậu sốt cà,44690,12315,6345,254
2648,beans breakfast style,23894,6949,3367,255
2649,tomato beans,30930,8372,4650,441
2650,side baked beans,28975,6385,3048,226
2651,baked beans manis,9362,2516,1472,87
2652,canned beans warm,37691,12113,4182,211
2653,brisket pho,3987,1388,359,34
2654,pho brisket,29272,11231,3071,229
2655,pho daging brisket,39422,12554,7393,401
2656,vietnamese brisket noodle soup,22387,8357,2505,220
2657,sup pho brisket,15002,2692,1863,172
2658,bánh phở bò nạm,15806,5505,2967,286
2659,pho sapi brisket,38587,9067,2809,135
2660,brisket beef pho,31041,7563,2251,177
2661,beef noodle pho brisket,8348,1422,915,69
2662,pho kuah daging,35697,12402,4591,289
2663,brisket pho bowl,9161,2407,1247,77
2664,pho klasik brisket,14867,5380,3203,298
2665,key lime pie,17187,5947,3509,320
2666,pai limau nipis,12251,4169,1523,117
2667,pie jeruk nipis,29085,7746,5053,437
2668,lime dessert pie,15064,2849,1893,113
2669,key lime tart,853,245,143,5
2670,pai manis lime,40413,6393,4294,226
2671,bánh chanh key lime,9235,3056,1907,120
2672,sweet lime pie,5798,2198,997,63
2673,keylime pie classic,9056,1937,1107,49
2674,pai jeruk manis,13643,2904,932,68
2675,key lime custard pie,9620,2475,1577,132
2676,tart limau,9802,1802,476,34
2677,lentil & beetroot salad,25187,7428,3046,256
2678,salad lentil beet,13170,4855,1880,94
2679,salad kacang dan bit,19287,5092,1404,121
2680,beet lentil salad,35250,6866,3969,234
2681,salad sehat bit,4945,1084,670,50
2682,salad vegan beet,30029,11271,5940,334
2683,salad sayur bit dan lentil,11475,3936,1681,82
2684,gỏi củ dền đậu lăng,34193,13663,5953,399
2685,beet salad mix,35928,8586,2923,258
2686,kacang bit salad,4823,999,414,18
2687,healthy lentil salad,22974,7955,3274,163
2688,salad segar lentil beet,38830,13047,5480,415
2689,roast beef & cheddar sandwich,48614,7803,5295,372
2690,sandwich daging panggang keju,47032,9683,6092,342
2691,sandwich roast beef,30869,5973,2166,115
2692,roti isi beef cheddar,46660,13912,8444,763
2693,sandwich keju dan daging,29348,6794,3640,225
2694,bánh mì thịt nướng phô mai,46273,14819,5347,240
2695,cheddar roast sandwich,45482,8902,5524,312
2696,sandwich sapi bakar keju,39546,6240,1907,98
2697,grilled roast beef sandwich,13160,2581,1581,86
2698,sandwich cheddar panggang,3962,1228,730,53
2699,bbq tempeh salad,24419,7787,3341,260
2700,salad tempeh bbq,46215,17111,4395,250
2701,salad vegetarian tempeh,37768,6981,2828,220
2702,tempe bbq salad,6022,1935,498,34
2703,grilled tempe salad,12694,4219,2338,106
2704,salad tempeh panggang,4631,1439,993,34
2705,gỏi tempe nướng BBQ,21495,4436,2544,113
2706,vegan bbq salad,14050,3917,2167,186
2707,salad protein nabati,19287,6883,3709,348
2708,bbq soy tempeh salad,30940,8304,5481,346
2709,salad sehat tempeh,18574,5903,1734,171
2710,tempe salad mix,19630,4415,2483,241
2711,chicken dumplings (8),39689,13016,4625,185
2712,dumpling ayam 8 pcs,14975,3518,1983,83
2713,pangsit ayam,40852,6518,4222,218
2714,chicken gyoza,9512,2913,1834,71
2715,dumpling isi ayam,30267,11454,7979,736
2716,dumpling ayam kukus,962,210,65,5
2717,bánh bao gà hấp,26452,4114,2085,149
2718,8 chicken dumplings,41197,12345,4000,398
2719,chicken wonton,26653,9162,3411,195
2720,pangsit ayam goreng,35170,10346,5765,241
2721,ayam dumpling kombo,11235,1751,745,43
2722,dumpling isi daging ayam,21660,5825,2540,185
2723,classic belgian waffle,29244,4517,1255,94
2724,waffle belgian klasik,28501,7790,2945,113
2725,belgian waffle,46376,11852,3177,266
2726,waffle klasik,25000,8425,4585,358
2727,waffle belgia,21197,3669,2430,229
2728,sweet belgian waffle,13898,3407,2088,159
2729,bánh waffle Bỉ,39122,6791,1725,111
2730,belgian breakfast waffle,19227,4913,2612,169
2731,waffle lembut belgia,44870,16545,6087,588
2732,crispy belgian waffle,40779,7048,4920,419
2733,breakfast waffle,17265,5500,2786,211
2734,waffle manis belgia,4144,1571,575,43
2735,crepe ice cream roll,10828,1935,605,57
2736,gulungan es krim crepe,46951,9414,3297,300
2737,es krim lipat crepe,24725,9741,2946,110
2738,rolled ice cream crepe,44602,8136,3990,286
2739,crepe roll dessert,32199,8456,5813,304
2740,bánh crepe cuộn kem,25688,5158,2322,92
2741,crepe dingin isi es krim,16383,4891,3314,274
2742,rolled dessert crepe,14097,3815,1715,103
2743,ice cream crepe,37274,14371,8531,404
2744,sweet crepe roll,8247,1440,752,28
2745,crepe beku,35874,8846,4067,246
2746,dessert lipat es krim,1301,262,129,10
2747,honey mustard dressing,41278,14358,8240,540
2748,saus madu mustard,586,211,103,4
2749,honey mustard sauce,49399,16326,11157,470
2750,honey mustard,18054,3414,1937,82
2751,dressing madu mustard,24304,9504,5977,332
2752,saus salad manis pedas,35774,13959,6940,340
2753,nước sốt mật ong mù tạt,2618,515,343,32
2754,saus mustard manis,33313,12046,3514,203
2755,honey mustard dip,32503,9682,4266,162
2756,mustard dressing,36648,11669,5253,340
2757,madu mustard salad,33755,8293,3146,311
2758,lemon iced tea,45007,17926,7825,645
2759,teh lemon dingin,40560,10529,2924,134
2760,es teh lemon,24828,6377,2570,106
2761,iced lemon tea,14240,2606,1543,83
2762,lemon tea cold,11313,4126,1957,188
2763,minuman teh lemon,46366,8524,5721,202
2764,teh rasa lemon,15134,4046,2695,202
2765,trà chanh đá,42415,8544,2466,174
2766,lemon tea fresh,23070,8498,3877,201
2767,cold lemon tea,18770,6603,1767,73
2768,teh lemon es,14437,4997,2976,128
2769,lemon iced beverage,14114,3269,1058,78
2770,refreshing lemon tea,24255,8489,2870,190
2771,nachos with salsa,19847,4551,2781,207
2772,nachos salsa,13362,4257,1096,41
2773,tortilla chips salsa,22994,8750,2683,200
2774,keripik nacho dengan salsa,9868,2404,1264,96
2775,nacho snack,32313,7615,4932,329
2776,salsa and chips,41699,15871,7456,717
2777,bánh ngô với sốt salsa,24289,5272,3293,252
2778,salsa dipping nachos,6341,2209,1058,36
2779,nachos classic,40331,14452,9969,975
2780,spicy nacho dip,19350,4153,2173,75
2781,mexican chips salsa,22318,6213,3448,301
2782,side nacho salsa,10690,2608,943,64
2783,nacho sauce dip,28481,5655,1727,78
2784,potato chips,3177,1087,459,31
2785,keripik kentang,18405,5359,2328,188
2786,potato crisps,1059,258,96,9
2787,kentang renyah,11114,2709,1044,48
2788,kentang goreng kering,1221,306,141,4
2789,snack chips kentang,35967,10541,6108,224
2790,khoai tây chiên giòn,24190,9095,4793,411
2791,crispy potato chips,31215,5840,3970,219
2792,kentang slice snack,16307,3096,1753,173
2793,fried potato chips,16332,2485,633,39
2794,potato snack pack,11806,2714,1852,121
2795,keripik asin kentang,25971,5231,3000,226
2796,spicy pork rice bowl,13060,3677,1117,97
2797,nasi babi pedas,43900,10907,5703,340
2798,mangkuk nasi babi pedas,15506,5325,2275,135
2799,spicy pork bowl,45661,7727,3939,152
2800,rice bowl pork spicy,14879,5908,2788,121
2801,babi pedas rice,45393,8154,2621,207
2802,pork stir-fry rice bowl,37171,12991,5670,269
2803,cơm thịt heo cay,10936,2789,822,55
2804,spicy grilled pork rice,35463,6137,3284,233
2805,pork don pedas,47498,14871,8613,620
2806,mangkuk daging babi pedas,33212,12273,3530,284
2807,steak burrito,23640,5669,2062,189
2808,burrito steak,20874,6909,2072,88
2809,burrito daging panggang,42144,11736,4744,437
2810,burrito isi steak,39830,13780,8669,824
2811,steak wrap,21242,7395,2979,189
2812,bánh burrito bò bít tết,36041,9881,6325,525
2813,grilled beef burrito,9603,1855,536,23
2814,steak beef wrap,43202,7189,4204,217
2815,burrito sapi panggang,24751,7705,2306,159
2816,steak meat burrito,20072,6907,2218,77
2817,burrito panggang daging,10202,4015,1956,150
2818,steak burrito klasik,25903,7116,4199,241
2819,al pastor tacos,13387,4113,2394,163
2820,taco al pastor,7119,1897,1117,94
2821,pork taco,22049,3724,1322,88
2822,taco babi panggang,40784,12529,8340,667
2823,taco babi manis,24468,3814,1431,98
2824,grilled pork taco,19378,7029,4627,338
2825,taco daging asap,24045,6315,3217,141
2826,taco khas meksiko,46441,7577,3621,189
2827,alpastor tacos,14633,5299,2669,189
2828,gambas al ajillo (garlic shrimp),12054,2591,703,52
2829,gambas garlic,36621,7961,5228,261
2830,udang bawang putih,10130,3781,1142,62
2831,garlic shrimp,28690,5867,1621,159
2832,spanish garlic shrimp,47511,18400,10676,484
2833,udang saus bawang,27602,4580,1314,120
2834,gambas goreng,45294,15151,10093,437
2835,spicy garlic prawns,26849,6613,2007,155
2836,udang panggang bawang,20554,6630,3432,334
2837,garlic mashed potatoes,11240,3723,1756,87
2838,mashed garlic potatoes,4962,785,322,18
2839,kentang tumbuk bawang,48215,18438,12222,976
2840,mashed potato garlic,13676,5139,2590,244
2841,kentang lembut,17407,5842,3263,166
2842,garlic mash,37507,9404,3378,171
2843,creamy mashed potatoes,7639,3012,1300,114
2844,kentang halus bawang,6372,2201,1208,84
2845,mango chutney,49022,18199,11972,1089
2846,chutney mangga,16776,3971,2560,142
